127.0.0.1 - - [25/Nov/2017:15:12:03 +0800] "GET /wuliu/backgroud/yw/js/bootstrap.min.js HTTP/1.1" 404 1070
127.0.0.1 - - [25/Nov/2017:15:12:03 +0800] "GET /wuliu/backgroud/yw/js/sdmenu.js HTTP/1.1" 404 1056
127.0.0.1 - - [25/Nov/2017:15:12:03 +0800] "GET /wuliu/backgroud/yw/js/laydate/laydate.js HTTP/1.1" 404 1074
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/yw_Xlgl.jsp HTTP/1.1" 200 21596
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/css/css.css HTTP/1.1" 404 1054
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/css/bootstrap.css HTTP/1.1" 404 1066
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/js/laydate/laydate.js HTTP/1.1" 404 1074
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/js/sdmenu.js HTTP/1.1" 404 1056
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/js/bootstrap.min.js HTTP/1.1" 404 1070
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/img/logo.png HTTP/1.1" 404 1056
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/js/jquery1.9.0.min.js HTTP/1.1" 404 1074
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/css/css.css HTTP/1.1" 404 1054
127.0.0.1 - - [25/Nov/2017:15:26:03 +0800] "GET /wuliu/backgroud/yw/js/jquery1.9.0.min.js HTTP/1.1" 404 1074
127.0.0.1 - - [25/Nov/2017:15:26:04 +0800] "GET /wuliu/backgroud/yw/css/bootstrap.css HTTP/1.1" 404 1066
127.0.0.1 - - [25/Nov/2017:15:26:04 +0800] "GET /wuliu/backgroud/yw/js/bootstrap.min.js HTTP/1.1" 404 1070
127.0.0.1 - - [25/Nov/2017:15:26:04 +0800] "GET /wuliu/backgroud/yw/js/sdmenu.js HTTP/1.1" 404 1056
127.0.0.1 - - [25/Nov/2017:15:26:04 +0800] "GET /wuliu/backgroud/yw/js/laydate/laydate.js HTTP/1.1" 404 1074
127.0.0.1 - - [25/Nov/2017:15:29:20 +0800] "GET /wuliu/backgroud/left.jsp HTTP/1.1" 200 7010
127.0.0.1 - - [25/Nov/2017:15:29:20 +0800] "GET /wuliu/backgroud/img/logo.png HTTP/1.1" 200 143607
127.0.0.1 - - [25/Nov/2017:15:29:25 +0800] "GET /wuliu/backgroud/yw/yw_Xlgl.jsp HTTP/1.1" 200 21862
127.0.0.1 - - [25/Nov/2017:15:30:03 +0800] "GET /wuliu/backgroud/yw/yw_Fhqd.jsp HTTP/1.1" 200 15230
127.0.0.1 - - [25/Nov/2017:15:30:20 +0800] "GET /wuliu/backgroud/yw/yw_Fbyd.jsp HTTP/1.1" 200 14834
127.0.0.1 - - [25/Nov/2017:16:10:43 +0800] "GET /wuliu/backgroud/yw/yw_Xlgl.jsp HTTP/1.1" 200 21882
127.0.0.1 - - [25/Nov/2017:16:10:46 +0800] "GET /wuliu/backgroud/yw/yw_Fhqd.jsp HTTP/1.1" 200 15250
127.0.0.1 - - [25/Nov/2017:16:10:49 +0800] "GET /wuliu/backgroud/yw/yw_Fbyd.jsp HTTP/1.1" 200 14854
127.0.0.1 - - [25/Nov/2017:16:28:17 +0800] "GET /wuliu/backgroud/yw/yw_Dnkp.jsp HTTP/1.1" 200 17298
